,F_LP,DF,Vout,Ishot,S
0,"100,000","111,060",1.2032,4.5825e-19,4.582500000000001e-11
1,"100,000","111,060",1.1814,4.4462500000000005e-19,4.44625e-11
2,"100,000","111,060",1.1723,4.389375e-19,4.389375e-11
3,"100,000","111,060",1.2023,4.576874999999999e-19,4.576874999999999e-11
4,"100,000","111,060",1.2878,5.11125e-19,5.111250000000001e-11
5,"100,000","111,060",1.2803,5.064375e-19,5.0643750000000005e-11
6,"100,000","111,060",1.1579,4.2993749999999996e-19,4.299375e-11
7,"100,000","111,060",1.127,4.10625e-19,4.10625e-11
8,"100,000","111,060",1.2203,4.6893750000000005e-19,4.6893750000000005e-11
9,"100,000","111,060",1.3268,5.355000000000001e-19,5.3550000000000005e-11
10,,,,,
11,,,,,
12,33000,"36,650",0.3673,-6.418749999999995e-20,-6.4187499999999954e-12
13,33000,"36,650",0.3582,-6.987499999999995e-20,-6.987499999999995e-12
14,33000,"36,650",0.3636,-6.649999999999998e-20,-6.649999999999998e-12
15,33000,"36,650",0.3598,-6.887499999999996e-20,-6.887499999999996e-12
16,33000,"36,650",0.4482,-1.3624999999999947e-20,-1.3624999999999946e-12
17,33000,"36,650",0.3711,-6.181249999999996e-20,-6.181249999999996e-12
18,33000,"36,650",0.3951,-4.681249999999995e-20,-4.681249999999995e-12
19,33000,"36,650",0.3777,-5.768749999999999e-20,-5.768749999999999e-12
20,33000,"36,650",0.3932,-4.7999999999999956e-20,-4.799999999999996e-12
21,33000,"36,650",0.4012,-4.299999999999994e-20,-4.299999999999994e-12
22,,,,,
23,10000,"12,000",0.2201,-1.5618749999999995e-19,-1.5618749999999996e-11
24,10000,"12,000",0.2063,-1.6481249999999995e-19,-1.6481249999999995e-11
25,10000,"12,000",0.1575,-1.9531249999999995e-19,-1.9531249999999994e-11
26,10000,"12,000",0.1556,-1.9649999999999998e-19,-1.9649999999999998e-11
27,10000,"12,000",0.1956,-1.7149999999999994e-19,-1.7149999999999994e-11
28,10000,"12,000",0.1508,-1.9949999999999993e-19,-1.9949999999999993e-11
29,10000,"12,000",0.1513,-1.9918749999999996e-19,-1.9918749999999996e-11
30,10000,"12,000",0.1669,-1.8943749999999995e-19,-1.8943749999999995e-11
31,10000,"12,000",0.175,-1.8437499999999993e-19,-1.8437499999999994e-11
32,10000,"12,000",0.1502,-1.9987499999999994e-19,-1.9987499999999995e-11
33,,,,,
34,3300,"3,700",0.05234,-2.6103749999999994e-19,-2.6103749999999992e-11
35,3300,"3,700",0.04948,-2.6282499999999994e-19,-2.6282499999999994e-11
36,3300,"3,700",0.05148,-2.6157499999999994e-19,-2.6157499999999995e-11
37,3300,"3,700",0.05361,-2.6024374999999994e-19,-2.6024374999999993e-11
38,3300,"3,700",0.05411,-2.5993124999999997e-19,-2.5993124999999997e-11
39,3300,"3,700",0.0506,-2.6212499999999996e-19,-2.6212499999999995e-11
40,3300,"3,700",0.04948,-2.6282499999999994e-19,-2.6282499999999994e-11
41,3300,"3,700",0.06067,-2.5583124999999993e-19,-2.5583124999999992e-11
42,3300,"3,700",0.05205,-2.6121874999999995e-19,-2.6121874999999996e-11
43,3300,"3,700",0.0462,-2.6487499999999996e-19,-2.6487499999999995e-11
44,,,,,
45,1000,"1,250",0.024,-2.7874999999999996e-19,-2.7874999999999997e-11
46,1000,"1,250",0.02561,-2.7774374999999995e-19,-2.7774374999999994e-11
47,1000,"1,250",0.02779,-2.7638124999999994e-19,-2.7638124999999995e-11
48,1000,"1,250",0.026,-2.7749999999999997e-19,-2.7749999999999998e-11
49,1000,"1,250",0.03496,-2.7189999999999997e-19,-2.719e-11
50,1000,"1,250",0.03384,-2.7259999999999995e-19,-2.7259999999999995e-11
51,1000,"1,250",0.02203,-2.7998124999999996e-19,-2.7998124999999997e-11
52,1000,"1,250",0.02521,-2.7799374999999995e-19,-2.7799374999999995e-11
53,1000,"1,250",0.0339,-2.7256249999999996e-19,-2.7256249999999995e-11
54,1000,"1,250",0.02296,-2.794e-19,-2.794e-11
55,1000,"1,250",0.02774,-2.7641249999999994e-19,-2.7641249999999996e-11
56,,,,,
57,330,360,0.01247,-2.8595624999999994e-19,-2.8595624999999995e-11
58,330,360,0.01607,-2.837062499999999e-19,-2.837062499999999e-11
59,330,360,0.01344,-2.8534999999999994e-19,-2.8534999999999995e-11
60,330,360,0.0119,-2.863125e-19,-2.8631249999999997e-11
61,330,360,0.00867,-2.8833124999999995e-19,-2.8833124999999993e-11
62,330,360,0.01121,-2.8674374999999996e-19,-2.8674374999999995e-11
63,330,360,0.00989,-2.8756874999999996e-19,-2.8756874999999995e-11
64,330,360,0.01304,-2.8559999999999995e-19,-2.8559999999999996e-11
65,330,360,0.01981,-2.8136874999999995e-19,-2.8136874999999995e-11
66,330,360,0.01293,-2.8566875e-19,-2.8566875e-11
