,V_dc,Vout,Ishot,S,Idc,e
0,0.108,1.1379,4.1743750000000003e-19,3.7586326433221387e-16,1.08e-05,1.740107705241731e-19
1,0.108,1.157,4.2937500000000007e-19,3.866118619497394e-16,1.08e-05,1.7898697312487937e-19
2,0.108,1.1487,4.241875e-19,3.8194100539343246e-16,1.08e-05,1.768245395339965e-19
3,0.108,1.144,4.2125e-19,3.7929606252419845e-16,1.08e-05,1.7560002894638818e-19
4,0.108,1.1753,4.408125000000001e-19,3.9691025652569316e-16,1.08e-05,1.837547483915246e-19
5,0.108,1.1427,4.2043750000000003e-19,3.7856448258164436e-16,1.08e-05,1.7526133452853906e-19
6,0.108,1.133,4.14375e-19,3.7310577070258687e-16,1.08e-05,1.7273415310304948e-19
7,0.108,1.1387,4.1793750000000004e-19,3.763134673737856e-16,1.08e-05,1.742191978582341e-19
8,0.108,1.1317,4.135625e-19,3.723741907600328e-16,1.08e-05,1.7239545868520039e-19
9,0.108,1.1352,4.1575000000000003e-19,3.743438290669092e-16,1.08e-05,1.7330732827171723e-19
10,,,,,,
11,0.2508,2.0363,9.789375000000004e-19,8.814412800172882e-16,2.5080000000000004e-05,1.7572593301780065e-19
12,0.2508,2.2269,1.0980625000000004e-18,9.887021546717572e-16,2.5080000000000004e-05,1.9710967995848427e-19
13,0.2508,2.279,1.1306250000000001e-18,1.0180216277541172e-15,2.5080000000000004e-05,2.0295486996692924e-19
14,0.2508,2.113,1.0268750000000002e-18,9.246044966279794e-16,2.5080000000000004e-05,1.843310399976035e-19
15,0.2508,2.129,1.0368750000000001e-18,9.336085574594144e-16,2.5080000000000004e-05,1.8612610794645418e-19
16,0.2508,2.053,9.893750000000002e-19,8.908392685100982e-16,2.5080000000000004e-05,1.775995351894135e-19
17,0.2508,2.02,9.687500000000001e-19,8.722683930452636e-16,2.5080000000000004e-05,1.7389720754490897e-19
18,0.2508,2.086,1.0100000000000002e-18,9.09410143974933e-16,2.5080000000000004e-05,1.8130186283391802e-19
19,0.2508,2.052,9.8875e-19,8.902765147081335e-16,2.5080000000000004e-05,1.774873434426103e-19
20,0.2508,2.031,9.756250000000002e-19,8.784586848668751e-16,2.5080000000000004e-05,1.7513131675974382e-19
21,,,,,,
22,0.4172,2.976,1.5662499999999999e-18,1.4102610277235032e-15,4.172e-05,1.6901498414711208e-19
23,0.4172,2.947,1.548125e-18,1.3939411674665274e-15,4.172e-05,1.6705910444229717e-19
24,0.4172,2.884,1.5087500000000002e-18,1.3584876779427523e-15,4.172e-05,1.628101243939061e-19
25,0.4172,2.867,1.4981250000000003e-18,1.3489208633093526e-15,4.172e-05,1.6166357422211803e-19
26,0.4172,2.865,1.4968750000000004e-18,1.3477953557054235e-15,4.172e-05,1.6152868596661355e-19
27,0.4172,2.873,1.5018750000000003e-18,1.352297386121141e-15,4.172e-05,1.6206823898863147e-19
28,0.4172,2.888,1.5112500000000001e-18,1.360738693150611e-15,4.172e-05,1.6307990090491504e-19
29,0.4172,2.884,1.5087500000000002e-18,1.3584876779427523e-15,4.172e-05,1.628101243939061e-19
30,0.4172,2.895,1.5156250000000002e-18,1.3646779697643638e-15,4.172e-05,1.6355200979918072e-19
31,0.4172,2.901,1.519375e-18,1.3680544925761519e-15,4.172e-05,1.6395667456569414e-19
32,,,,,,
33,0.7035,4.148,2.2987499999999998e-18,2.069808483626115e-15,7.035e-05,1.471079234986578e-19
34,0.7035,4.189,2.3243750000000004e-18,2.0928813895066676e-15,7.035e-05,1.4874778887751726e-19
35,0.7035,4.229,2.349375e-18,2.115391541585255e-15,7.035e-05,1.503476575398191e-19
36,0.7035,4.202,2.3324999999999993e-18,2.100197188932208e-15,7.035e-05,1.492677461927653e-19
37,0.7035,4.168,2.31125e-18,2.081063559665409e-15,7.035e-05,1.4790785782980872e-19
38,0.7035,4.233,2.3518749999999997e-18,2.1176425567931133e-15,7.035e-05,1.5050764440604928e-19
39,0.7035,4.294,2.3899999999999996e-18,2.1519705387129593e-15,7.035e-05,1.5294744411605963e-19
40,0.7035,4.167,2.3106250000000004e-18,2.080500805863445e-15,7.035e-05,1.4786786111325122e-19
41,0.7035,4.236,2.35375e-18,2.1193308181990076e-15,7.035e-05,1.5062763455572193e-19
42,0.7035,4.192,2.3262500000000002e-18,2.0945696509125615e-15,7.035e-05,1.4886777902718987e-19
43,0.7035,4.27,2.3749999999999997e-18,2.138464447465807e-15,7.035e-05,1.519875229186785e-19
44,,,,,,
45,0.9513,4.935,2.7906249999999994e-18,2.5126957257723228e-15,9.513e-05,1.3206642099087158e-19
46,0.9513,4.939,2.7931250000000003e-18,2.5149467409801823e-15,9.513e-05,1.3218473357406613e-19
47,0.9513,4.949,2.7993749999999994e-18,2.5205742789998284e-15,9.513e-05,1.3248051503205236e-19
48,0.9513,4.961,2.8068749999999996e-18,2.527327324623405e-15,9.513e-05,1.328354527816359e-19
49,0.9513,4.987,2.823125e-18,2.541958923474487e-15,9.513e-05,1.3360448457240024e-19
50,0.9513,4.944,2.7962499999999997e-18,2.517760509990005e-15,9.513e-05,1.3233262430305925e-19
51,0.9513,4.953,2.8018749999999996e-18,2.5228252942076875e-15,9.513e-05,1.3259882761524688e-19
52,0.9513,4.937,2.7918750000000004e-18,2.513821233376253e-15,9.513e-05,1.3212557728246888e-19
53,0.9513,4.949,2.7993749999999994e-18,2.5205742789998284e-15,9.513e-05,1.3248051503205236e-19
54,0.9513,4.947,2.7981249999999995e-18,2.519448771395899e-15,9.513e-05,1.324213587404551e-19
