,calibration,output,temperature,kb,vj,s
0,0.989,0.0876,86.56716418,1.335563916916838e-23,4.604938271604939e-13,4.604938271604938e-17
1,0.989,0.08753,86.56716418,1.3330574966974227e-23,4.596296296296295e-13,4.5962962962962955e-17
2,0.989,0.08732,86.56716418,1.325538236039178e-23,4.57037037037037e-13,4.57037037037037e-17
3,0.989,0.0872,86.56716418,1.321241515663038e-23,4.555555555555555e-13,4.555555555555555e-17
4,0.989,0.08755,86.56716418,1.3337736167601135e-23,4.598765432098767e-13,4.598765432098767e-17
5,0.989,0.08725,86.56716418,1.3230318158197625e-23,4.561728395061727e-13,4.561728395061727e-17
6,0.989,0.08705,86.56716418,1.3158706151928634e-23,4.537037037037038e-13,4.537037037037038e-17
7,0.989,0.08785,86.56716418,1.3445154177004624e-23,4.635802469135801e-13,4.635802469135801e-17
8,0.989,0.08715,86.56716418,1.3194512155063133e-23,4.549382716049383e-13,4.5493827160493836e-17
9,0.989,0.08725,86.56716418,1.3230318158197625e-23,4.561728395061727e-13,4.561728395061727e-17
10,0.989,0.08756,86.56716418,1.3341316767914577e-23,4.6e-13,4.5999999999999996e-17
11,0.989,0.08735,86.56716418,1.326612416133213e-23,4.574074074074074e-13,4.574074074074074e-17
12,0.974,0.09354,92.1641791,1.4542282005889242e-23,5.338271604938271e-13,5.3382716049382714e-17
13,0.964,0.09332,95.89552239,1.3905324012481676e-23,5.311111111111111e-13,5.3111111111111114e-17
14,0.959,0.09336,97.76119403,1.3652637665517375e-23,5.316049382716048e-13,5.316049382716048e-17
15,0.957,0.093,98.50746269,1.343593141829227e-23,5.271604938271604e-13,5.271604938271604e-17
16,0.955,0.09387,99.25373134,1.3606604253383194e-23,5.379012345679012e-13,5.379012345679012e-17
17,0.953,0.09506,100.0,1.3873917704234858e-23,5.525925925925927e-13,5.525925925925927e-17
18,0.952,0.0949,100.3731343,1.3772932183710107e-23,5.506172839506171e-13,5.5061728395061716e-17
19,0.947,0.09526,102.238806,1.3630744266784898e-23,5.550617283950618e-13,5.550617283950618e-17
20,0.944,0.09513,103.358209,1.344413298928068e-23,5.534567901234568e-13,5.534567901234568e-17
21,0.942,0.0956,104.1044776,1.3487697870587503e-23,5.592592592592593e-13,5.592592592592593e-17
22,0.938,0.09687,105.5970149,1.36698463393231e-23,5.749382716049382e-13,5.749382716049383e-17
23,0.936,0.09802,106.3432836,1.3909112030859938e-23,5.891358024691357e-13,5.891358024691358e-17
24,0.93,0.09875,108.5820896,1.38307146893526e-23,5.981481481481483e-13,5.981481481481483e-17
25,0.924,0.09931,110.8208955,1.3707936486421674e-23,6.050617283950618e-13,6.050617283950618e-17
26,0.915,0.10142,114.1791045,1.3877564318163146e-23,6.311111111111111e-13,6.311111111111112e-17
27,0.912,0.10209,115.2985075,1.3922949941977745e-23,6.393827160493826e-13,6.393827160493826e-17
28,0.908,0.10294,116.7910448,1.3970610130195735e-23,6.498765432098767e-13,6.498765432098767e-17
29,0.904,0.10439,118.2835821,1.417429768389339e-23,6.677777777777777e-13,6.677777777777777e-17
30,0.895,0.10589,121.641791,1.4165206315338214e-23,6.862962962962962e-13,6.862962962962962e-17
31,0.885,0.1088,125.3731343,1.4463067698106427e-23,7.22222222222222e-13,7.222222222222219e-17
32,0.875,0.1095,129.1044776,1.4213120505810453e-23,7.308641975308641e-13,7.308641975308641e-17
33,0.859,0.1121,135.0746269,1.4181551116465277e-23,7.629629629629629e-13,7.629629629629629e-17
34,0.851,0.11386,138.0597015,1.4270066424810902e-23,7.846913580246914e-13,7.846913580246914e-17
35,0.745,0.12727,177.6119403,1.3432546853237972e-23,9.502469135802467e-13,9.502469135802467e-17
36,0.73,0.13,183.2089552,1.3484059479659877e-23,9.839506172839506e-13,9.839506172839507e-17
37,0.71,0.13287,190.6716418,1.342286476438569e-23,1.0193827160493827e-12,1.0193827160493828e-16
38,0.694,0.13741,196.641791,1.3730970334705717e-23,1.0754320987654321e-12,1.0754320987654321e-16
39,0.673,0.14022,204.4776119,1.3630744273451027e-23,1.1101234567901234e-12,1.1101234567901234e-16
40,0.662,0.14362,208.5820896,1.3867773902203618e-23,1.1520987654320988e-12,1.1520987654320989e-16
41,0.621,0.14972,223.880597,1.3764686950036942e-23,1.2274074074074073e-12,1.2274074074074072e-16
42,0.585,0.15627,237.3134328,1.3841069488109762e-23,1.3082716049382716e-12,1.3082716049382716e-16
43,0.566,0.15989,244.4029851,1.3898676838002822e-23,1.352962962962963e-12,1.352962962962963e-16
